Words,Types,Sentences,Title
4773,1461,198,Calvin_Coolidge_1927-02-22
1044,413,53,Calvin_Coolidge_1927-08-10
8800,2041,447,Calvin_Coolidge_1927-12-06
8083,2054,369,Calvin_Coolidge_1928-12-04
433,244,14,Chester_A._Arthur_1881-09-22
13334,2950,421,Chester_A._Arthur_1881-12-06
3005,769,93,Chester_A._Arthur_1882-04-04
1682,597,39,Chester_A._Arthur_1882-04-18
1208,414,36,Chester_A._Arthur_1882-07-01
831,327,23,Chester_A._Arthur_1882-08-01
10310,2470,314,Chester_A._Arthur_1882-12-04
8306,2114,263,Chester_A._Arthur_1883-12-04
332,151,8,Chester_A._Arthur_1884-07-01
8900,2225,282,Chester_A._Arthur_1884-12-01
1859,679,57,Chester_A._Arthur_1884-12-10
3125,1203,104,Franklin_Pierce_1853-03-04
9610,2192,231,Franklin_Pierce_1853-12-05
269,147,6,Franklin_Pierce_1854-01-18
585,236,8,Franklin_Pierce_1854-02-10
546,256,10,Franklin_Pierce_1854-03-14
3029,859,55,Franklin_Pierce_1854-05-15
678,300,14,Franklin_Pierce_1854-08-01
521,253,12,Franklin_Pierce_1854-08-04
10153,2319,266,Franklin_Pierce_1854-12-04
7123,1430,142,Franklin_Pierce_1854-12-30
11622,2343,274,Franklin_Pierce_1855-12-31
4211,1025,91,Franklin_Pierce_1856-01-24
633,282,10,Franklin_Pierce_1856-02-11
905,418,16,Franklin_Pierce_1856-08-21
10510,2212,255,Franklin_Pierce_1856-12-02
1434,596,25,George_Washington_1789-04-30
435,206,5,George_Washington_1789-10-03
850,391,21,George_Washington_1790-01-08
1401,572,40,George_Washington_1790-12-08
1402,445,48,George_Washington_1790-12-29
2269,775,57,George_Washington_1791-10-25
156,78,3,George_Washington_1792-04-05
2359,797,63,George_Washington_1792-11-06
189,120,2,George_Washington_1792-12-12
136,91,4,George_Washington_1793-03-04
237,126,2,George_Washington_1793-04-22
1835,798,55,George_Washington_1793-12-03
1277,476,6,George_Washington_1794-08-07
653,333,3,George_Washington_1794-09-25
2934,1099,79,George_Washington_1794-11-19
382,167,1,George_Washington_1795-07-10
1977,786,50,George_Washington_1795-12-08
1065,378,19,George_Washington_1796-03-30
1603,487,61,George_Washington_1796-08-29
6074,1689,174,George_Washington_1796-09-19
2868,966,77,George_Washington_1796-12-07
1569,685,44,Grover_Cleveland_1885-03-04
19818,3634,558,Grover_Cleveland_1885-12-08
1727,601,32,Grover_Cleveland_1886-03-01
1160,467,24,Grover_Cleveland_1886-04-22
819,336,21,Grover_Cleveland_1886-05-08
540,218,10,Grover_Cleveland_1886-05-11
360,171,11,Grover_Cleveland_1886-07-14
15192,2961,413,Grover_Cleveland_1886-12-06
4210,1017,98,Grover_Cleveland_1887-02-11
586,262,15,Grover_Cleveland_1887-02-16
5305,1340,122,Grover_Cleveland_1887-12-06
9945,869,243,Grover_Cleveland_1888-02-02
2075,697,41,Grover_Cleveland_1888-10-01
13269,2949,364,Grover_Cleveland_1888-12-03
1879,838,58,Grover_Cleveland_1893-03-04
2079,740,53,Grover_Cleveland_1893-08-08
12351,2893,377,Grover_Cleveland_1893-12-04
3091,802,76,Grover_Cleveland_1894-03-29
15968,3225,466,Grover_Cleveland_1894-12-03
2340,723,71,Grover_Cleveland_1895-01-28
734,299,13,Grover_Cleveland_1895-02-08
375,170,6,Grover_Cleveland_1895-06-12
375,170,6,Grover_Cleveland_1895-06-12_2
14709,2987,357,Grover_Cleveland_1895-12-02
1555,556,31,Grover_Cleveland_1895-12-17
604,286,13,Grover_Cleveland_1895-12-20
565,236,6,Grover_Cleveland_1896-07-27
15543,3162,424,Grover_Cleveland_1896-12-07
384,215,8,Grover_Cleveland_1897-01-11
1890,628,51,Grover_Cleveland_1897-03-02
6207,1429,284,Herbert_Hoover_1928-10-22
3763,1025,164,Herbert_Hoover_1929-03-04
370,186,11,Herbert_Hoover_1929-06-11
1100,432,27,Herbert_Hoover_1929-07-24
1099,434,27,Herbert_Hoover_1929-07-24_2
635,281,32,Herbert_Hoover_1929-09-18
207,124,5,Herbert_Hoover_1929-10-25
997,335,42,Herbert_Hoover_1929-11-05
591,275,19,Herbert_Hoover_1929-11-19
11043,2327,407,Herbert_Hoover_1929-12-03
403,219,17,Herbert_Hoover_1930-03-07
613,295,26,Herbert_Hoover_1930-04-28
1673,581,54,Herbert_Hoover_1930-06-16
2186,616,72,Herbert_Hoover_1930-07-07
3715,1054,177,Herbert_Hoover_1930-10-02
4553,1287,162,Herbert_Hoover_1930-12-02
311,159,12,Herbert_Hoover_1930-12-09
1471,511,46,Herbert_Hoover_1931-02-03
2232,668,82,Herbert_Hoover_1931-02-26
867,397,60,Herbert_Hoover_1931-06-21
966,344,44,Herbert_Hoover_1931-09-22
1393,487,56,Herbert_Hoover_1931-10-18
5698,1453,250,Herbert_Hoover_1931-12-08
822,386,35,Herbert_Hoover_1931-12-11
2565,793,77,Herbert_Hoover_1932-05-31
7261,1667,339,Herbert_Hoover_1932-08-11
6586,1516,266,Herbert_Hoover_1932-10-21
8709,1740,325,Herbert_Hoover_1932-10-28
8012,1847,289,Herbert_Hoover_1932-11-05
4225,1264,160,Herbert_Hoover_1932-12-06
2983,973,111,James_A._Garfield_1881-03-04
2650,982,89,James_Buchanan_1857-03-04
13682,2433,403,James_Buchanan_1857-12-08
6673,1419,206,James_Buchanan_1858-02-02
16390,2762,517,James_Buchanan_1858-12-06
1132,423,34,James_Buchanan_1859-02-18
3748,896,118,James_Buchanan_1859-02-24
12376,2313,396,James_Buchanan_1859-12-19
2411,739,72,James_Buchanan_1860-03-28
1424,490,39,James_Buchanan_1860-05-19
3302,923,113,James_Buchanan_1860-06-22
14084,2499,481,James_Buchanan_1860-12-03
2004,733,74,James_Buchanan_1861-01-08
755,320,21,James_Buchanan_1861-01-28
581,245,14,James_Buchanan_1861-03-01
4812,1258,153,James_K._Polk_1845-03-04
16143,2548,443,James_K._Polk_1845-12-02
947,365,27,James_K._Polk_1846-03-24
988,356,27,James_K._Polk_1846-04-13
2979,882,87,James_K._Polk_1846-05-11
269,137,7,James_K._Polk_1846-05-13
634,247,14,James_K._Polk_1846-06-10
2948,747,78,James_K._Polk_1846-08-03
345,193,10,James_K._Polk_1846-08-05
681,284,14,James_K._Polk_1846-08-07
500,216,12,James_K._Polk_1846-08-08
18248,2642,473,James_K._Polk_1846-12-08
497,225,15,James_K._Polk_1846-12-29
1794,525,46,James_K._Polk_1847-02-13
16444,2557,438,James_K._Polk_1847-12-07
622,253,14,James_K._Polk_1848-02-22
493,246,12,James_K._Polk_1848-04-03
718,312,18,James_K._Polk_1848-05-29
241,121,6,James_K._Polk_1848-07-04
3011,707,75,James_K._Polk_1848-07-06
500,195,11,James_K._Polk_1848-08-01
2134,732,63,James_K._Polk_1848-08-14
21360,3101,596,James_K._Polk_1848-12-05
3336,691,82,James_K._Polk_1849-01-02
4138,833,98,James_K._Polk_1849-02-08
1177,521,21,James_Madison_1809-03-04
1111,453,25,James_Madison_1809-05-23
1833,674,40,James_Madison_1809-11-29
620,278,8,James_Madison_1810-10-27
2450,854,60,James_Madison_1810-12-05
335,166,6,James_Madison_1811-02-21
2275,806,46,James_Madison_1811-11-05
2851,902,57,James_Madison_1812-06-01
289,149,5,James_Madison_1812-06-19
310,171,5,James_Madison_1812-07-09
3251,1087,87,James_Madison_1812-11-04
1211,518,33,James_Madison_1813-03-04
2087,762,46,James_Madison_1813-05-25
798,362,6,James_Madison_1813-07-23
3263,1046,66,James_Madison_1813-12-07
692,339,8,James_Madison_1814-09-01
2118,804,50,James_Madison_1814-09-20
1280,439,21,James_Madison_1815-01-30
829,386,10,James_Madison_1815-02-18
3158,1031,54,James_Madison_1815-12-05
3375,1059,69,James_Madison_1816-12-03
815,288,13,James_Madison_1817-03-03
3380,979,123,James_Monroe_1817-03-04
4437,1170,122,James_Monroe_1817-12-02
4381,1187,112,James_Monroe_1818-11-16
4715,1142,129,James_Monroe_1819-12-07
3449,1023,83,James_Monroe_1820-11-14
4476,1202,131,James_Monroe_1821-03-05
5833,1270,147,James_Monroe_1821-12-03
4739,1211,116,James_Monroe_1822-12-03
6390,1518,180,James_Monroe_1823-12-02
8427,1669,244,James_Monroe_1824-12-07
2321,794,38,John_Adams_1797-03-04
3025,952,78,John_Adams_1797-05-16
2049,701,57,John_Adams_1797-11-22
655,308,7,John_Adams_1798-03-23
2218,792,54,John_Adams_1798-12-08
1494,576,35,John_Adams_1799-12-03
1255,492,60,John_Adams_1799-12-19
291,149,4,John_Adams_1800-05-21
1374,537,40,John_Adams_1800-11-22
448,222,19,John_Quincy_Adams_1821-07-04
2918,962,76,John_Quincy_Adams_1825-03-04
9025,2042,207,John_Quincy_Adams_1825-12-06
1051,415,25,John_Quincy_Adams_1825-12-06_2
7759,1755,171,John_Quincy_Adams_1826-12-05
1468,455,24,John_Quincy_Adams_1827-02-05
6992,1739,164,John_Quincy_Adams_1827-12-04
7320,1732,194,John_Quincy_Adams_1828-12-02
83,60,3,John_Quincy_Adams_1841-02-24
1672,646,41,John_Tyler_1841-04-09
5993,1501,157,John_Tyler_1841-06-01
2520,702,66,John_Tyler_1841-08-16
2270,702,65,John_Tyler_1841-09-09
8252,1924,197,John_Tyler_1841-12-07
2566,812,57,John_Tyler_1842-03-25
695,313,14,John_Tyler_1842-05-10
3237,941,76,John_Tyler_1842-08-09
8190,1588,284,John_Tyler_1842-08-11
657,275,19,John_Tyler_1842-08-18
8433,1948,205,John_Tyler_1842-12-06
1491,531,32,John_Tyler_1842-12-30
8045,1874,193,John_Tyler_1843-12-05
1960,585,29,John_Tyler_1844-04-09
1613,533,40,John_Tyler_1844-06-11
9330,2012,267,John_Tyler_1844-12-03
1767,632,33,John_Tyler_1844-12-18
1090,421,18,John_Tyler_1845-02-20
3844,1252,98,Martin_Van_Buren_1837-03-04
11766,2081,303,Martin_Van_Buren_1837-09-04
11471,2250,279,Martin_Van_Buren_1837-12-05
395,185,5,Martin_Van_Buren_1838-01-05
511,243,6,Martin_Van_Buren_1838-11-21
11515,2281,264,Martin_Van_Buren_1838-12-03
2103,629,35,Martin_Van_Buren_1839-02-16
13466,2521,338,Martin_Van_Buren_1839-12-02
9001,2061,181,Martin_Van_Buren_1840-12-05
869,338,24,Martin_Van_Buren_1841-01-02
3212,776,61,Millard_Fillmore_1850-08-06
7785,2313,231,Millard_Fillmore_1850-12-02
610,261,19,Millard_Fillmore_1850-12-13
905,276,12,Millard_Fillmore_1850-12-13_2
3319,819,60,Millard_Fillmore_1851-02-19
13271,2577,351,Millard_Fillmore_1851-12-02
9955,2262,283,Millard_Fillmore_1852-12-06
2325,872,59,Rutherford_B._Hayes_1877-03-05
141,88,6,Rutherford_B._Hayes_1877-06-22
305,144,7,Rutherford_B._Hayes_1877-07-18
10740,2234,284,Rutherford_B._Hayes_1877-12-03
1133,379,30,Rutherford_B._Hayes_1878-02-08
7904,1940,228,Rutherford_B._Hayes_1878-12-02
3182,848,63,Rutherford_B._Hayes_1879-03-01
388,168,8,Rutherford_B._Hayes_1879-04-26
4912,1017,154,Rutherford_B._Hayes_1879-04-29
2385,598,52,Rutherford_B._Hayes_1879-05-12
4128,899,119,Rutherford_B._Hayes_1879-05-29
11672,2333,311,Rutherford_B._Hayes_1879-12-01
540,221,14,Rutherford_B._Hayes_1880-03-08
3578,773,82,Rutherford_B._Hayes_1880-06-15
13388,2696,405,Rutherford_B._Hayes_1880-12-06
1251,402,31,Rutherford_B._Hayes_1881-03-03
300,152,10,Theodore_Roosevelt_1901-09-14
19712,3363,678,Theodore_Roosevelt_1901-12-03
1206,498,36,Theodore_Roosevelt_1902-06-13
9823,2176,332,Theodore_Roosevelt_1902-12-02
241,121,4,Theodore_Roosevelt_1903-10-20
2607,720,71,Theodore_Roosevelt_1903-11-10
6288,1296,353,Theodore_Roosevelt_1903-11-16
15003,2896,504,Theodore_Roosevelt_1903-12-07
3864,784,81,Theodore_Roosevelt_1903-12-07_2
2221,516,30,Theodore_Roosevelt_1904-02-11
17508,3176,530,Theodore_Roosevelt_1904-12-06
923,412,33,Theodore_Roosevelt_1905-03-04
25176,3746,794,Theodore_Roosevelt_1905-12-05
1117,440,34,Theodore_Roosevelt_1906-01-08
954,368,34,Theodore_Roosevelt_1906-06-04
23675,3748,664,Theodore_Roosevelt_1906-12-03
1503,522,55,Theodore_Roosevelt_1906-12-11
12088,2208,407,Theodore_Roosevelt_1906-12-17
4468,1149,137,Theodore_Roosevelt_1906-12-19
27514,3936,867,Theodore_Roosevelt_1907-12-03
2599,792,76,Theodore_Roosevelt_1908-03-25
19520,3312,620,Theodore_Roosevelt_1908-12-09
1730,680,41,Thomas_Jefferson_1801-03-04
1212,477,45,Thomas_Jefferson_1801-07-12
3229,1039,92,Thomas_Jefferson_1801-12-08
234,139,5,Thomas_Jefferson_1802-01-01
910,354,33,Thomas_Jefferson_1802-11-03
2121,760,59,Thomas_Jefferson_1802-12-15
1283,530,32,Thomas_Jefferson_1803-01-18
2338,794,55,Thomas_Jefferson_1803-06-20
1753,684,37,Thomas_Jefferson_1803-10-17
1140,392,44,Thomas_Jefferson_1803-12-17
2098,715,50,Thomas_Jefferson_1804-11-08
2151,776,39,Thomas_Jefferson_1805-03-04
2890,942,77,Thomas_Jefferson_1805-12-03
993,410,28,Thomas_Jefferson_1805-12-06
848,326,37,Thomas_Jefferson_1806-01-10
425,194,5,Thomas_Jefferson_1806-11-27
2870,918,73,Thomas_Jefferson_1806-12-02
1165,369,38,Thomas_Jefferson_1806-12-30
1523,555,36,Thomas_Jefferson_1807-01-22
1140,452,36,Thomas_Jefferson_1807-02-10
1174,433,23,Thomas_Jefferson_1807-07-02
2367,819,60,Thomas_Jefferson_1807-10-27
2681,917,54,Thomas_Jefferson_1808-11-08
337,178,10,Thomas_Jefferson_1809-04-03
1063,476,40,Ulysses_S._Grant_1869-03-04
612,245,6,Ulysses_S._Grant_1869-04-07
825,302,13,Ulysses_S._Grant_1869-05-14
166,90,6,Ulysses_S._Grant_1869-05-19
7723,1809,242,Ulysses_S._Grant_1869-12-06
1003,400,27,Ulysses_S._Grant_1870-03-30
272,134,6,Ulysses_S._Grant_1870-05-24
1087,468,30,Ulysses_S._Grant_1870-05-31
2545,832,61,Ulysses_S._Grant_1870-06-13
5697,1530,144,Ulysses_S._Grant_1870-07-14
1707,464,29,Ulysses_S._Grant_1870-08-22
8767,2068,264,Ulysses_S._Grant_1870-12-05
563,236,13,Ulysses_S._Grant_1871-02-07
253,123,6,Ulysses_S._Grant_1871-02-15
507,227,12,Ulysses_S._Grant_1871-05-03
821,243,7,Ulysses_S._Grant_1871-10-17
6466,1675,208,Ulysses_S._Grant_1871-12-04
1437,469,27,Ulysses_S._Grant_1871-12-19
10062,2182,285,Ulysses_S._Grant_1872-12-02
1256,559,43,Ulysses_S._Grant_1873-03-04
10053,2228,288,Ulysses_S._Grant_1873-12-01
1488,513,39,Ulysses_S._Grant_1874-04-22
457,173,6,Ulysses_S._Grant_1874-09-15
9838,2117,287,Ulysses_S._Grant_1874-12-07
4887,1247,131,Ulysses_S._Grant_1875-01-13
1078,408,25,Ulysses_S._Grant_1875-01-14
412,198,11,Ulysses_S._Grant_1875-04-18
12234,2460,331,Ulysses_S._Grant_1875-12-07
2784,693,67,Ulysses_S._Grant_1876-05-04
299,154,8,Ulysses_S._Grant_1876-06-26
6812,1686,189,Ulysses_S._Grant_1876-12-05
866,339,20,Ulysses_S._Grant_1877-01-29
436,228,17,Warren_G._Harding_1917-04-04
543,271,28,Warren_G._Harding_1919-09-11
491,244,26,Warren_G._Harding_1920-01-20
549,286,20,Warren_G._Harding_1920-05-14
6866,1778,269,Warren_G._Harding_1920-06-12
513,255,28,Warren_G._Harding_1920-07-22
526,248,23,Warren_G._Harding_1920-07-22_2
545,257,28,Warren_G._Harding_1920-07-22_3
557,251,25,Warren_G._Harding_1920-07-22_4
550,279,32,Warren_G._Harding_1920-07-22_5
479,246,23,Warren_G._Harding_1920-08-25
355,184,13,Warren_G._Harding_1920-08-28
3308,1142,148,Warren_G._Harding_1921-03-04
546,249,29,Warren_G._Harding_1921-03-31
691,316,33,Warren_G._Harding_1921-05-23
550,273,29,Warren_G._Harding_1921-11-12
5613,1565,208,Warren_G._Harding_1921-12-06
5765,1608,224,Warren_G._Harding_1922-12-08
8459,1808,211,William_Harrison_1841-03-04
3702,1315,130,William_McKinley_1897-03-04
975,352,30,William_McKinley_1897-03-15
213,128,8,William_McKinley_1897-05-17
577,262,20,William_McKinley_1897-07-24
12157,2511,374,William_McKinley_1897-12-06
5823,1581,151,William_McKinley_1898-04-11
445,186,7,William_McKinley_1898-04-22
321,152,5,William_McKinley_1898-04-23
20293,3801,605,William_McKinley_1898-12-05
22899,3912,699,William_McKinley_1899-12-05
2026,776,77,William_McKinley_1900-07-12
19213,3684,590,William_McKinley_1900-12-03
2074,859,101,William_McKinley_1901-03-04
2198,833,102,William_McKinley_1901-09-05
5075,1598,159,William_Taft_1909-03-04
329,168,11,William_Taft_1909-03-16
1178,430,33,William_Taft_1909-06-16
7755,1390,226,William_Taft_1909-11-17
13940,2556,379,William_Taft_1909-12-07
8214,1551,152,William_Taft_1910-01-07
4068,1025,102,William_Taft_1910-01-14
23602,3514,708,William_Taft_1910-12-06
2290,788,77,William_Taft_1911-01-26
2290,788,77,William_Taft_1911-01-26_2
23803,3605,696,William_Taft_1911-12-05
25268,3805,721,William_Taft_1912-12-03
1604,664,68,Woodrow_Wilson_1913-03-04
1157,458,37,Woodrow_Wilson_1913-04-08
1183,431,48,Woodrow_Wilson_1913-06-23
1264,468,68,Woodrow_Wilson_1913-07-04
1954,606,70,Woodrow_Wilson_1913-10-25
3562,1045,109,Woodrow_Wilson_1913-12-02
2525,767,76,Woodrow_Wilson_1914-01-20
1307,464,39,Woodrow_Wilson_1914-04-20
945,348,37,Woodrow_Wilson_1914-05-30
3230,787,122,Woodrow_Wilson_1914-07-04
631,290,16,Woodrow_Wilson_1914-08-20
1078,381,37,Woodrow_Wilson_1914-10-20
4545,1155,171,Woodrow_Wilson_1914-12-08
859,372,29,Woodrow_Wilson_1915-01-28
7740,1683,222,Woodrow_Wilson_1915-12-07
1967,596,41,Woodrow_Wilson_1916-04-19
5532,1386,188,Woodrow_Wilson_1916-09-02
5531,1387,187,Woodrow_Wilson_1916-09-02_2
1307,444,45,Woodrow_Wilson_1916-09-08
2121,682,53,Woodrow_Wilson_1916-12-05
2687,712,91,Woodrow_Wilson_1917-01-22
1497,497,29,Woodrow_Wilson_1917-02-03
1642,574,48,Woodrow_Wilson_1917-02-26
1431,565,59,Woodrow_Wilson_1917-03-05
3678,1026,102,Woodrow_Wilson_1917-04-02
1541,435,18,Woodrow_Wilson_1917-04-06
1728,566,48,Woodrow_Wilson_1917-04-16
1918,503,48,Woodrow_Wilson_1917-05-18
3929,1058,137,Woodrow_Wilson_1917-12-04
2502,760,80,Woodrow_Wilson_1918-01-08
5479,1405,159,Woodrow_Wilson_1918-12-02
4759,1337,162,Woodrow_Wilson_1919-12-02
2711,867,72,Woodrow_Wilson_1920-12-07
1091,481,22,Zachary_Taylor_1849-03-05
7639,1779,205,Zachary_Taylor_1849-12-04
1679,558,33,Zachary_Taylor_1850-01-23
986,365,23,Zachary_Taylor_1850-04-22
